Disease,Sym
Hepatitis D, loss_of_appetite nausea abdominal_pain yellowing_of_eyes joint_pain dark_urine
Hepatitis E, fatigue yellowing_of_eyes coma acute_liver_failure loss_of_appetite joint_pain vomiting stomach_bleeding high_fever nausea
Alcoholic hepatitis, history_of_alcohol_consumption yellowish_skin vomiting fluid_overload
Tuberculosis, sweating mild_fever breathlessness vomiting chills high_fever fatigue phlegm swelled_lymph_nodes yellowing_of_eyes cough malaise weight_loss
Common Cold, headache muscle_pain continuous_sneezing malaise redness_of_eyes chills swelled_lymph_nodes sinus_pressure chest_pain throat_irritation loss_of_smell cough fatigue phlegm
Pneumonia, chills chest_pain fast_heart_rate sweating cough fatigue malaise high_fever
Dimorphic hemmorhoids(piles), pain_during_bowel_movements pain_in_anal_region
Heart attack, breathlessness
Varicose veins, bruising swollen_blood_vessels swollen_legs obesity
Hypothyroidism, cold_hands_and_feets swollen_extremeties weight_gain dizziness abnormal_menstruation mood_swings irritability depression puffy_face_and_eyes fatigue
Hyperthyroidism, weight_loss diarrhoea fatigue fast_heart_rate abnormal_menstruation muscle_weakness sweating restlessness
Hypoglycemia, palpitations sweating drying_and_tingling_lips fatigue vomiting slurred_speech anxiety blurred_and_distorted_vision nausea
Osteoarthristis, knee_pain painful_walking hip_joint_pain
Arthritis, swelling_joints muscle_weakness
(vertigo) Paroymsal  Positional Vertigo, loss_of_balance unsteadiness headache
Acne, blackheads
Urinary tract infection, foul_smell_ofurine
Psoriasis, small_dents_in_nails skin_rash joint_pain
Impetigo, high_fever blister
Fungal infection, itching
Allergy, continuous_sneezing
GERD, stomach_pain vomiting chest_pain
Chronic cholestasis, nausea itching vomiting loss_of_appetite
Drug Reaction, burning_micturition stomach_pain
Peptic ulcer diseae, internal_itching indigestion passage_of_gases
AIDS, muscle_wasting
Diabetes , irregular_sugar_level polyuria excessive_hunger blurred_and_distorted_vision lethargy obesity restlessness
Gastroenteritis, sunken_eyes
Bronchial Asthma, fatigue family_history cough
Hypertension , headache lack_of_concentration
Migraine, irritability excessive_hunger blurred_and_distorted_vision acidity headache stiff_neck
Cervical spondylosis, loss_of_balance weakness_in_limbs
Paralysis (brain hemorrhage), weakness_of_one_body_side
Jaundice, dark_urine weight_loss fatigue abdominal_pain vomiting
Malaria, muscle_pain vomiting sweating headache high_fever
Chicken pox, malaise swelled_lymph_nodes lethargy fatigue high_fever loss_of_appetite itching headache
Dengue, loss_of_appetite red_spots_over_body joint_pain headache back_pain chills fatigue high_fever malaise muscle_pain nausea
Typhoid, nausea high_fever constipation chills belly_pain vomiting abdominal_pain fatigue
hepatitis A, mild_fever vomiting nausea yellowing_of_eyes yellowish_skin joint_pain diarrhoea abdominal_pain
Hepatitis B, yellowing_of_eyes receiving_blood_transfusion yellowish_skin dark_urine fatigue loss_of_appetite lethargy malaise yellow_urine
Hepatitis C, family_history fatigue yellowing_of_eyes
Hepatitis D, loss_of_appetite nausea vomiting dark_urine yellowing_of_eyes fatigue
Hepatitis E, vomiting yellowing_of_eyes stomach_bleeding dark_urine yellowish_skin joint_pain acute_liver_failure fatigue loss_of_appetite coma
Alcoholic hepatitis, fluid_overload distention_of_abdomen history_of_alcohol_consumption swelling_of_stomach
Tuberculosis, malaise cough sweating fatigue yellowing_of_eyes weight_loss phlegm loss_of_appetite swelled_lymph_nodes chills mild_fever vomiting breathlessness
Common Cold, chills phlegm headache throat_irritation muscle_pain continuous_sneezing chest_pain high_fever malaise runny_nose swelled_lymph_nodes loss_of_smell congestion fatigue
Pneumonia, rusty_sputum sweating chills fatigue high_fever breathlessness malaise cough
Dimorphic hemmorhoids(piles), pain_during_bowel_movements bloody_stool
Heart attack, chest_pain
Varicose veins, swollen_blood_vessels swollen_legs bruising cramps
Hypothyroidism, lethargy enlarged_thyroid cold_hands_and_feets abnormal_menstruation brittle_nails fatigue puffy_face_and_eyes swollen_extremeties dizziness weight_gain
Hyperthyroidism, muscle_weakness weight_loss restlessness mood_swings fast_heart_rate excessive_hunger irritability abnormal_menstruation
Hypoglycemia, sweating headache irritability nausea slurred_speech blurred_and_distorted_vision excessive_hunger fatigue vomiting
Osteoarthristis, painful_walking hip_joint_pain neck_pain
Arthritis, movement_stiffness painful_walking
(vertigo) Paroymsal  Positional Vertigo, spinning_movements unsteadiness loss_of_balance
Acne, scurring
Urinary tract infection, continuous_feel_of_urine
Psoriasis, inflammatory_nails skin_peeling small_dents_in_nails
Impetigo, blister yellow_crust_ooze
Fungal infection, skin_rash
Allergy, watering_from_eyes
GERD, vomiting cough chest_pain
Chronic cholestasis, yellowish_skin vomiting yellowing_of_eyes loss_of_appetite
Drug Reaction, spotting_urination itching
Peptic ulcer diseae, indigestion loss_of_appetite internal_itching
AIDS, extra_marital_contacts
Diabetes , fatigue blurred_and_distorted_vision obesity lethargy polyuria weight_loss excessive_hunger
Gastroenteritis, dehydration
Bronchial Asthma, fatigue family_history high_fever
Hypertension , chest_pain lack_of_concentration
Migraine, irritability depression stiff_neck indigestion acidity excessive_hunger
Cervical spondylosis, back_pain weakness_in_limbs
Paralysis (brain hemorrhage), vomiting
Jaundice, fatigue weight_loss abdominal_pain dark_urine vomiting
Malaria, muscle_pain sweating vomiting headache nausea
Chicken pox, high_fever fatigue skin_rash itching red_spots_over_body swelled_lymph_nodes headache malaise
Dengue, malaise chills headache red_spots_over_body skin_rash fatigue high_fever pain_behind_the_eyes vomiting nausea muscle_pain
Typhoid, abdominal_pain headache high_fever fatigue diarrhoea belly_pain vomiting toxic_look_(typhos)
hepatitis A, dark_urine vomiting muscle_pain joint_pain yellowish_skin loss_of_appetite diarrhoea nausea
Hepatitis B, itching receiving_unsterile_injections yellow_urine abdominal_pain lethargy yellowing_of_eyes dark_urine yellowish_skin malaise
Hepatitis C, fatigue loss_of_appetite nausea
Hepatitis D, dark_urine nausea yellowing_of_eyes loss_of_appetite abdominal_pain vomiting
Hepatitis E, fatigue dark_urine loss_of_appetite stomach_bleeding coma joint_pain abdominal_pain vomiting high_fever yellowing_of_eyes
Alcoholic hepatitis, fluid_overload history_of_alcohol_consumption vomiting abdominal_pain
Tuberculosis, loss_of_appetite chest_pain blood_in_sputum vomiting sweating weight_loss breathlessness high_fever cough yellowing_of_eyes phlegm malaise fatigue
Common Cold, swelled_lymph_nodes continuous_sneezing fatigue chest_pain cough chills runny_nose malaise throat_irritation headache redness_of_eyes high_fever congestion muscle_pain
Pneumonia, malaise breathlessness chills sweating fast_heart_rate phlegm cough chest_pain
Dimorphic hemmorhoids(piles), pain_in_anal_region pain_during_bowel_movements
Heart attack, chest_pain
Varicose veins, cramps fatigue prominent_veins_on_calf bruising
Hypothyroidism, enlarged_thyroid cold_hands_and_feets fatigue lethargy abnormal_menstruation brittle_nails weight_gain irritability dizziness mood_swings
Hyperthyroidism, fast_heart_rate weight_loss restlessness sweating irritability excessive_hunger muscle_weakness diarrhoea
Hypoglycemia, fatigue anxiety palpitations headache excessive_hunger slurred_speech blurred_and_distorted_vision drying_and_tingling_lips nausea
Osteoarthristis, swelling_joints joint_pain knee_pain
Arthritis, stiff_neck swelling_joints
(vertigo) Paroymsal  Positional Vertigo, unsteadiness spinning_movements headache
Acne, scurring
Urinary tract infection, burning_micturition
Psoriasis, skin_peeling silver_like_dusting skin_rash
Impetigo, red_sore_around_nose yellow_crust_ooze
Fungal infection, dischromic_patches
Allergy, watering_from_eyes
GERD, acidity chest_pain vomiting
Chronic cholestasis, itching yellowish_skin loss_of_appetite yellowing_of_eyes
Drug Reaction, skin_rash itching
Peptic ulcer diseae, internal_itching passage_of_gases vomiting
AIDS, high_fever
Diabetes , weight_loss irregular_sugar_level lethargy obesity fatigue restlessness blurred_and_distorted_vision
Gastroenteritis, dehydration
Bronchial Asthma, family_history high_fever fatigue
Hypertension , lack_of_concentration headache
Migraine, blurred_and_distorted_vision visual_disturbances depression headache indigestion excessive_hunger
Cervical spondylosis, weakness_in_limbs back_pain
Paralysis (brain hemorrhage), headache
Jaundice, fatigue yellowish_skin abdominal_pain weight_loss itching
Malaria, chills nausea vomiting headache muscle_pain
Chicken pox, mild_fever loss_of_appetite lethargy swelled_lymph_nodes red_spots_over_body skin_rash itching malaise
Dengue, back_pain skin_rash muscle_pain pain_behind_the_eyes red_spots_over_body headache joint_pain vomiting nausea fatigue loss_of_appetite
Typhoid, high_fever vomiting abdominal_pain toxic_look_(typhos) belly_pain nausea headache fatigue
hepatitis A, dark_urine loss_of_appetite abdominal_pain joint_pain vomiting yellowing_of_eyes nausea muscle_pain
Hepatitis B, lethargy yellow_urine fatigue dark_urine receiving_unsterile_injections receiving_blood_transfusion loss_of_appetite abdominal_pain yellowing_of_eyes
Hepatitis C, family_history loss_of_appetite yellowing_of_eyes
Hepatitis D, yellowing_of_eyes joint_pain abdominal_pain vomiting dark_urine loss_of_appetite
Hepatitis E, yellowish_skin acute_liver_failure joint_pain coma stomach_bleeding vomiting yellowing_of_eyes loss_of_appetite high_fever fatigue
Alcoholic hepatitis, fluid_overload swelling_of_stomach abdominal_pain yellowish_skin
Tuberculosis, sweating weight_loss swelled_lymph_nodes phlegm loss_of_appetite vomiting breathlessness mild_fever fatigue malaise high_fever cough chills
Common Cold, high_fever continuous_sneezing phlegm loss_of_smell redness_of_eyes headache muscle_pain chills throat_irritation sinus_pressure congestion swelled_lymph_nodes runny_nose fatigue
Pneumonia, cough malaise breathlessness chills chest_pain rusty_sputum high_fever fast_heart_rate
Dimorphic hemmorhoids(piles), bloody_stool irritation_in_anus
Heart attack, sweating
Varicose veins, bruising prominent_veins_on_calf swollen_blood_vessels fatigue
Hypothyroidism, cold_hands_and_feets depression dizziness enlarged_thyroid lethargy mood_swings fatigue puffy_face_and_eyes brittle_nails swollen_extremeties
Hyperthyroidism, excessive_hunger fatigue muscle_weakness abnormal_menstruation weight_loss sweating diarrhoea irritability
Hypoglycemia, headache irritability blurred_and_distorted_vision drying_and_tingling_lips fatigue palpitations excessive_hunger sweating nausea
Osteoarthristis, painful_walking swelling_joints joint_pain
Arthritis, muscle_weakness movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, spinning_movements headache vomiting
Acne, skin_rash
Urinary tract infection, foul_smell_ofurine
Psoriasis, skin_rash joint_pain inflammatory_nails
Impetigo, high_fever red_sore_around_nose
Fungal infection, dischromic_patches
Allergy, shivering
GERD, acidity chest_pain stomach_pain
Chronic cholestasis, nausea loss_of_appetite itching yellowish_skin
Drug Reaction, burning_micturition stomach_pain
Peptic ulcer diseae, passage_of_gases indigestion internal_itching
AIDS, muscle_wasting
Diabetes , restlessness blurred_and_distorted_vision obesity weight_loss lethargy polyuria fatigue
Gastroenteritis, sunken_eyes
Bronchial Asthma, cough high_fever mucoid_sputum
Hypertension , headache lack_of_concentration
Migraine, acidity visual_disturbances headache excessive_hunger blurred_and_distorted_vision indigestion
Cervical spondylosis, back_pain weakness_in_limbs
Paralysis (brain hemorrhage), vomiting
Jaundice, yellowish_skin high_fever dark_urine abdominal_pain itching
Malaria, sweating muscle_pain vomiting diarrhoea headache
Chicken pox, high_fever fatigue loss_of_appetite mild_fever itching lethargy swelled_lymph_nodes malaise
Dengue, high_fever pain_behind_the_eyes chills back_pain fatigue muscle_pain skin_rash red_spots_over_body joint_pain nausea loss_of_appetite
Typhoid, nausea vomiting chills belly_pain constipation headache fatigue abdominal_pain
hepatitis A, abdominal_pain muscle_pain yellowing_of_eyes mild_fever diarrhoea joint_pain dark_urine loss_of_appetite
Hepatitis B, abdominal_pain itching yellowish_skin lethargy yellowing_of_eyes malaise receiving_unsterile_injections yellow_urine loss_of_appetite
Hepatitis C, yellowing_of_eyes nausea fatigue
Hepatitis D, abdominal_pain yellowing_of_eyes nausea yellowish_skin dark_urine fatigue
Hepatitis E, acute_liver_failure joint_pain fatigue yellowing_of_eyes stomach_bleeding vomiting coma loss_of_appetite abdominal_pain yellowish_skin
Alcoholic hepatitis, yellowish_skin abdominal_pain swelling_of_stomach history_of_alcohol_consumption
Tuberculosis, cough sweating blood_in_sputum weight_loss breathlessness mild_fever loss_of_appetite vomiting yellowing_of_eyes high_fever chest_pain phlegm fatigue
Common Cold, cough congestion runny_nose swelled_lymph_nodes malaise muscle_pain phlegm fatigue sinus_pressure high_fever chills redness_of_eyes throat_irritation loss_of_smell
Pneumonia, fast_heart_rate malaise rusty_sputum sweating phlegm cough chills breathlessness
Dimorphic hemmorhoids(piles), pain_during_bowel_movements pain_in_anal_region
Heart attack, sweating
Varicose veins, cramps prominent_veins_on_calf bruising fatigue
Hypothyroidism, lethargy brittle_nails puffy_face_and_eyes enlarged_thyroid depression fatigue weight_gain dizziness irritability swollen_extremeties
Hyperthyroidism, restlessness weight_loss abnormal_menstruation diarrhoea mood_swings fast_heart_rate sweating fatigue
Hypoglycemia, headache slurred_speech blurred_and_distorted_vision fatigue palpitations excessive_hunger irritability nausea anxiety
Osteoarthristis, painful_walking knee_pain swelling_joints
Arthritis, muscle_weakness movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, headache loss_of_balance vomiting
Acne, scurring
Urinary tract infection, foul_smell_ofurine
